Champion,Win Rate,Games Played,KD/A,CS,Gold
Aatrox,45.86,164593,1.84,150.57,10395
Ahri,51.23,198894,2.6,142.14,10533
Akali,45.90,327924,2.12,149.43,10810
Alistar,47.76,75860,2.32,33.28,7597
Amumu,51.37,123849,2.35,140.60,10266
Anivia,50.60,66575,2.72,154.30,10720
Annie,50.31,95085,2.27,126.40,10477
Aphelios,49.17,269810,2.1,162.22,11565
Ashe,51.88,430795,2.51,150.15,11165
AurelianSol,52.08,31909,2.52,147.51,10487
Azir,44.71,43901,1.89,163.67,10776
Bard,50.62,114108,2.64,28.50,8616
Blitzcrank,51.96,257707,2.44,33.16,7880
Brand,52.00,210620,2.12,62.35,9793
Braum,47.96,81366,2.59,32.92,7598
Caitlyn,50.88,677150,2.42,169.64,11652
Camille,49.42,94525,1.99,147.92,10847
Cassiopeia,50.61,136660,2.17,169.06,11183
Cho'Gath,49.12,135504,2.18,146.46,10580
Corki,45.98,21610,2.33,162.91,11442
Darius,51.39,330854,2.01,161.40,11219
Diana,51.72,319893,2.14,155.54,11459
Dr.Mundo,52.09,176976,2.28,156.04,10861
Draven,49.64,174818,2.15,165.46,12297
Ekko,52.10,380241,2.46,145.39,11101
Elise,50.06,116332,2.29,128.13,10420
Evelynn,47.30,100361,2.33,126.78,10797
Ezreal,45.55,279371,2.42,154.12,11056
Fiddlesticks,49.00,79622,2.11,72.20,9289
Fiora,50.29,201456,1.78,171.28,11464
Fizz,53.21,195411,2.58,137.68,11346
Galio,49.29,93417,2.46,115.70,9650
Gangplank,47.60,92538,2.27,179.58,11811
Garen,52.25,344139,2.28,166.51,11440
Gnar,48.11,64754,2.03,146.95,10436
Gragas,45.96,72664,2.22,120.54,9661
Graves,49.71,155754,2.3,174.78,11625
Hecarim,49.62,102664,2.43,150.22,11184
Heimerdinger,51.89,194085,2.11,152.97,10775
Illaoi,51.09,107837,1.72,175.36,11262
Irelia,45.63,173810,1.87,189.19,11905
Ivern,49.27,39334,2.9,109.99,8997
Janna,52.19,147844,3.01,18.71,7852
JarvanIV,51.16,160325,2.88,134.37,10783
Jax,50.42,284089,1.88,156.96,11265
Jayce,45.64,45427,2.02,161.26,11045
Jhin,51.72,506492,2.82,165.83,11813
Jinx,51.26,342584,2.44,171.87,11781
Kai'Sa,47.67,425072,2.41,171.47,11950
Kalista,46.33,36253,2.15,164.59,11787
Karma,48.55,107820,2.61,46.75,8423
Karthus,48.25,50538,2.26,165.76,11603
Kassadin,51.24,172627,2.42,155.40,11175
Katarina,50.52,182469,2.28,139.05,11396
Kayle,50.54,130008,2.09,174.89,11206
Kayn,49.93,222893,2.17,145.73,11015
Kennen,49.55,58825,2.2,144.46,10349
Kha'Zix,49.85,196089,2.25,142.32,11104
Kindred,48.72,76311,1.99,145.95,10989
Kled,51.83,85415,2.44,147.36,11124
Kog'Maw,50.66,45482,2.22,163.29,12016
LeBlanc,48.31,116661,2.71,124.69,10411
LeeSin,47.80,509595,2.36,132.93,10752
Leona,51.54,321690,2.42,34.68,7871
Lissandra,49.17,48084,2.41,150.05,10339
Lucian,48.57,339090,2.41,174.61,11877
Lulu,49.72,105621,2.9,27.96,7909
Lux,50.34,450493,2.69,78.70,9598
Malphite,51.09,239657,2.45,117.14,9982
Malzahar,51.42,128738,2.33,176.67,11294
Maokai,51.52,65683,2.45,102.07,9120
MasterYi,53.10,343110,1.9,155.01,11695
MissFortune,51.49,350456,2.5,160.41,11567
Morderkaiser,53.02,400921,2.09,154.39,11156
Morgana,50.12,324428,2.71,44.67,8790
Nami,51.47,156917,3.15,13.28,7773
Nasus,51.70,204720,1.99,166.31,11060
Nautilus,51.43,364147,2.44,45.38,8102
Neeko,49.62,101749,2.23,118.03,10022
Nidalee,45.16,99048,2.17,138.41,10616
Nocturne,51.94,253618,2.19,158.92,11652
Nunu&Willump,52.31,115048,2.66,129.35,9789
Olaf,51.18,285958,2.2,151.25,11152
Orianna,49.81,115964,2.73,161.67,10756
Ornn,50.32,142619,2.33,138.37,9715
Pantheon,46.83,113987,2.08,121.74,10377
Poppy,48.19,63434,2.21,123.62,9850
Pyke,48.13,273191,2.18,43.77,10903
Qiyana,44.70,150937,2,136.78,10713
Quinn,51.03,93223,2.01,154.64,11526
Rakan,50.26,108710,2.9,29.68,7630
Rammus,50.16,73949,2.36,125.30,9949
Rek'Sai,49.43,66470,2.3,134.37,10760
Renekton,49.67,183116,2.01,177.03,11319
Rengar,48.68,167712,1.98,153.04,11338
Riven,48.29,167159,1.91,163.15,11061
Rumble,51.24,72164,2.45,148.52,10714
Ryze,47.23,346571,2,187.65,11244
Sejuani,45.99,35531,2.48,131.00,9884
Senna,50.83,612450,2.82,67.13,9723
Shaco,52.20,215003,2.61,109.17,10563
Shen,50.73,130653,2.8,117.92,9720
Shyvana,49.47,83753,2.18,167.60,11127
Singed,51.96,118483,1.95,167.10,10803
Sion,51.19,6834,2.14,139.13,10200
Sivir,48.99,105481,2.56,181.98,11672
Skarner,50.11,33493,2.35,136.63,9985
Sona,50.57,100283,2.71,20.96,8158
Soraka,53.04,264689,2.96,18.69,7544
Swain,52.48,191676,2.61,70.97,9625
Sylas,43.17,63428,1.9,129.19,10295
Syndra,49.13,120707,2.31,16378,11104
TahmKench,45.22,32058,2.07,84.02,8900
Taliyah,48.88,28737,2.34,130.85,10732
Talon,49.61,142755,2.18,154.86,11699
Taric,53.46,55914,2.86,41.82,7771
Teemo,50.99,253427,1.86,149.88,10911
Thresh,49.04,433481,2.57,35.08,7866
Tristana,49.31,264263,2.38,161.57,11856
Trundle,49.93,83312,2.11,149.53,10849
Tryndamere,50.29,261569,1.79,195.51,12195
TwistedFate,48.83,103559,2.25,148.23,11036
Twitch,48.92,152272,2.36,147.94,11670
Udyr,50.81,113870,1.88,156.36,10938
Urgot,51.38,93875,2,166.57,11481
Varus,48.35,110810,2.31,163.41,11661
Vayne,50.12,358330,2.1,157.96,11517
Veigar,50.88,266514,2.33,137.12,10930
Vel'Koz,52.30,137215,2.48,91.98,10085
Vi,51.52,148066,2.13,145.09,10809
Viktor,51.13,60975,2.44,170.04,11229
Vladimir,48.48,214743,2.1,168.92,10794
Volibear,52.23,139287,2.46,130.78,10575
Warwick,53.07,316848,2.28,140.37,11097
Wukong,49.42,66591,2.18,141.96,11096
Xayah,47.88,190829,2.37,174.21,11638
Xerath,50.91,141660,2.79,111.70,10290
XinZhao,49.93,109917,2,137.88,10664
Yasuo,50.48,540594,1.85,181.41,11907
Yorick,53.30,91380,1.93,179.22,11431
Yuumi,43.77,105677,3.97,8.13,7453
Zac,51.94,102287,3.22,125.50,9806
Zed,48.85,251931,2.21,153.53,11690
Ziggs,49.89,58872,2.39,151.20,10814
Zilean,51.84,81726,2.9,64.34,8746
Zoe,47.67,83066,2.38,128.90,10254
Zyra,51.92,143841,2.34,54.18,9305